住所,時間,動作
日本、〒157-0073 東京都世田谷区砧６丁目３０−７,8:34,開始
日本、〒157-0073 東京都世田谷区砧６丁目３０−７,9:10,集荷
日本、〒158-0093 東京都世田谷区上野毛３丁目７−５,9:34,移動
日本、国道246号線,9:45,移動
日本、〒213-0032 神奈川県川崎市高津区久地８６５−３ （有）Ｙ．Ｍ．Ｊ鈑金,9:58,移動
日本、〒158-0094 東京都世田谷区玉川１丁目７−９,10:12,移動
日本、〒157-0073 東京都世田谷区砧７丁目２−１９,10:32,移動
日本、〒156-0052 東京都世田谷区経堂１丁目１０−１１,10:52,移動
日本、〒157-0066 東京都世田谷区成城２丁目５−１９,11:16,移動
日本、〒157-0076 東京都世田谷区岡本１丁目３７−８ （株）タカミ技研,11:31,移動
日本、〒213-0001 神奈川県川崎市高津区溝口６丁目１１−１ ベビーザらス川崎高津店,11:46,移動
日本、〒213-0002 神奈川県川崎市高津区二子２丁目７−１７,11:56,移動
日本、〒158-0098 東京都世田谷区上用賀５丁目１７−６,12:16,移動
日本、〒154-0016 東京都世田谷区弦巻４丁目３３−１,12:32,移動
日本、〒156-0053 東京都世田谷区桜２丁目４−１ マスターズガーデン世田谷桜,12:42,移動
日本、〒158-0098 東京都世田谷区上用賀４丁目５−１３,12:57,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,13:04,交換
日本、〒156-0055 東京都世田谷区船橋６丁目２６ ひなたぼっこ,13:22,移動
日本、〒156-0056 東京都世田谷区八幡山１丁目１９−１９,13:31,移動
日本、〒157-0063 東京都世田谷区粕谷２丁目６−１５,13:40,移動
日本、〒157-0063 東京都世田谷区 環八通り,13:48,移動
日本、〒156-0055 東京都世田谷区船橋７丁目１３−１３ カーサグランデ千歳,13:56,移動
日本、〒157-0062 東京都世田谷区南烏山１丁目１４−２８,14:09,移動
日本、〒157-0061 東京都世田谷区北烏山１丁目４ ジャムフラット,14:19,移動
日本、〒168-0071 東京都杉並区高井戸西１丁目１４−１２,14:29,配達
