住所,時間,動作
日本、〒168-0073 東京都杉並区下高井戸５丁目２２−１４,8:00,開始
日本、〒168-0073 東京都杉並区下高井戸３丁目２９−４,8:10,集荷
日本、〒168-0063 東京都杉並区和泉４丁目１６−１７,8:26,集荷
日本、〒166-0015 東京都杉並区成田東１丁目７−７ フラワーハイツ,8:39,集荷
日本、〒166-0015 東京都杉並区成田東４丁目１２−３,8:52,集荷
日本、〒168-0065 東京都杉並区浜田山４丁目１４−２９,9:08,集荷
日本、〒156-0056 東京都世田谷区八幡山２丁目８−５ （株）伸和運輸八幡山リサイクル工場,9:27,集荷
日本、〒157-0071 東京都世田谷区千歳台６丁目１６−１２,9:36,集荷
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,9:54,集合
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,9:54,交換
日本、〒156-0044 東京都世田谷区赤堤４丁目６−２０,10:08,配達
日本、〒156-0045 東京都世田谷区桜上水２丁目１７−１０,10:18,配達
日本、〒156-0045 東京都世田谷区桜上水１丁目２８−１５,10:28,集荷
日本、〒156-0055 東京都世田谷区船橋４丁目２４−１２,10:40,集荷
日本、〒157-0071 東京都世田谷区千歳台４丁目７−１１,10:51,配達
日本、〒157-0071 東京都世田谷区千歳台５丁目４−２,10:58,集荷
日本、〒168-0072 東京都杉並区高井戸東４丁目８−４ 東日紙商（株）高井戸支店,11:17,集荷
日本、〒166-0016 東京都杉並区成田西２丁目６−５,11:28,集荷
日本、〒168-0065 東京都杉並区浜田山３丁目２４ Ｒｅｌｉｅｆ浜田山,11:39,集荷
日本、〒166-0015 東京都杉並区成田東５丁目２７−２,11:54,集荷
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:20,集合
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:20,交換
日本、〒156-0055 東京都世田谷区船橋３丁目８−１５ 中部電力（株）千歳船橋アパート,12:39,配達
日本、〒168-0073 東京都杉並区下高井戸３丁目７−９,13:00,配達
日本、〒168-0061 東京都杉並区大宮２丁目１０−２４ 大栄マンション,13:14,集荷
日本、〒166-0016 東京都杉並区成田西３丁目４−１ 区立杉並第二小学校,13:27,集荷
日本、〒166-0015 東京都杉並区成田東３丁目１０−１２,13:36,配達
日本、〒166-0013 東京都杉並区堀ノ内３丁目３０ 新高円寺ハイツ,13:47,集荷
日本、〒166-0011 東京都杉並区 青梅街道,13:55,集荷
日本、〒166-0016 東京都杉並区成田西３丁目８−１６,14:06,集荷
日本、〒168-0071 東京都杉並区高井戸西２丁目１２−２４,14:21,配達
日本、〒168-0081 東京都杉並区宮前５丁目２１−１１,14:33,配達
日本、〒168-0081 東京都杉並区宮前３丁目３１ サンホワイト西荻,14:44,集荷
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:09,集合
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:09,交換
日本、〒156-0051 東京都世田谷区宮坂３丁目１７−１２,15:25,集荷
日本、〒156-0045 東京都世田谷区桜上水２丁目１５−１３,15:37,配達
日本、〒156-0057 東京都世田谷区 国道20号線,15:50,配達
日本、〒168-0074 東京都杉並区 中央自動車道(均一区間),15:59,配達
日本、〒156-0056 東京都世田谷区八幡山２丁目２０−１５,16:08,集荷
日本、〒168-0072 東京都杉並区高井戸東１丁目１０−２０,16:23,集荷
日本、〒168-0072 東京都杉並区高井戸東１丁目１−３０,16:29,集荷
日本、〒168-0073 東京都杉並区下高井戸４丁目２４−６,16:42,配達
日本、〒168-0073 東京都杉並区下高井戸２丁目８−８,16:53,集荷
日本、〒156-0043 東京都世田谷区松原２丁目３２−２６,17:03,集荷
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,17:14,集合
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,17:14,交換
日本、〒156-0043 東京都世田谷区松原３丁目２７−１０ ＡＬｆａ下高井戸,17:29,集荷
